# key	value	pos
CJKごかんかんじ	CJK互換漢字	名詞
CJKごかんようもじ	CJK互換用文字	名詞
CJKとうごうかんじ	CJK統合漢字	名詞
FCとうきょう	FC東京	固有名詞
FCまちだぜるびあ	FC町田ゼルビア	固有名詞
PFAS	PFAS	名詞
あいしんかくら	愛新覚羅	姓
あいてぃー	IT	名詞
あおぞらぎんこう	あおぞら銀行	固有名詞
あくろばてぃっく	アクロバティック	名詞形動
あごだし	あご出汁	名詞
あさごはん	朝ごはん	名詞
あさごはん	朝ご飯	名詞
あつかいかた	扱い方	名詞
あてぬの	当て布	名詞サ変
あびすぱ	アビスパ	固有名詞
あびすぱふくおか	アビスパ福岡	固有名詞
あべしんぞう	安倍晋三	人名
あもせ	阿茂瀬	姓
あらしね	荒稲	名詞
あるびれっくす	アルビレックス	固有名詞
あるびれっくすにいがた	アルビレックス新潟	固有名詞
あんこめんと	アンコメント	名詞サ変
あんとらーず	アントラーズ	固有名詞
あんのい	安ノ井	姓
あんぶんがく	按分額	名詞
いーぐるす	イーグルス	固有名詞
いえけい	家系	名詞
いおまぐぬっそ	イオマグヌッソ	固有名詞
いぐのーべるしょう	イグノーベル賞	固有名詞
いくりんぎょう	育林業	名詞
いけいざい	違警罪	名詞
いけだはやと	池田勇人	人名
いこみき	已己巳己	名詞
いただ	井唯	姓
いただきもの	頂き物	名詞
いちい	一意	名詞
いちまん	一万	名詞
いっきょうたじゃく	一強他弱	名詞
いっちょかみ	一丁噛み	名詞サ変
いばらてつどう	井原鉄道	固有名詞
いもじ	イ文字	名詞
いもじ	彝文字	名詞
いわぶろ	岩風呂	名詞
いんきゃ	陰キャ	名詞
いんてぃましー	intimacy	名詞
いんてぃましー	インティマシー	名詞
いんぴ	隠秘	名詞サ変
いんむ	淫夢	名詞
ゔぃっせる	ヴィッセル	固有名詞
ゔぃっせるこうべ	ヴィッセル神戸	固有名詞
うえがわ	上側	名詞
ゔぇるでぃ	ヴェルディ	固有名詞
うげん	迂言	名詞
うすいほん	薄い本	名詞
うちけしせん	打ち消し線	名詞
うちだゆき	内田有紀	人名
うちびょうし	内表紙	名詞
うっぷんばらし	鬱憤晴らし	名詞サ変
うらめん	裏面	名詞
うらわれっず	浦和レッズ	固有名詞
うりどき	売り時	名詞
うんてい	芸亭	名詞
えいえいじてん	英英辞典	名詞
えきねっと	えきねっと	固有名詞
えちぜんてつどう	えちぜん鉄道	固有名詞
えつご	粤語	名詞
えふしーとうきょう	FC東京	固有名詞
えふしーまちだぜるびあ	FC町田ゼルビア	固有名詞
えぶり	朳	名詞
えみー	エミー	名
えんりゃく	延暦	固有名詞
おーぷんきゃりー	オープンキャリー	名詞サ変
おおさかいかやっかだいがく	大阪医科薬科大学	固有名詞
おおさかこうりつだいがく	大阪公立大学	固有名詞
おおたまさひろ	太田政弘	人名
おおつきょう	大津京	固有名詞
おおひらまさよし	大平正芳	人名
おくぶたえ	奥二重	名詞
おくりて	送り手	名詞
おさなげ	幼げ	名詞形動
おさらば	オサラバ	名詞サ変
おしごと	推し事	名詞サ変
おす	お酢	名詞
おだいばこ	お題箱	名詞
おだえいいちろう	尾田栄一郎	人名
おにのかくらん	鬼の霍乱	名詞
おねろり	おねロリ	名詞
おぶちけいぞう	小渕恵三	人名
おりっくす・ばふぁろーず	オリックス・バファローズ	固有名詞
おりっくすばふぁろーず	オリックスバファローズ	固有名詞
おんこう	音高	名詞
かーぷ	カープ	固有名詞
かいかい	回回	固有名詞
かいごかんせい	下位互換性	名詞
かいしょう	海象	名詞
かいていこう	改訂稿	名詞
かいていしき	階梯式	名詞
かいとうらんま	快刀乱麻	名詞
がいぶふくひ	外部副費	名詞
かえがみ	替紙	名詞
かきかんせい	火器管制	名詞
かきじゅん	書き順	名詞
かきゅうきん	加給金	名詞
かぎょうしもいちだんかつよう	カ行下一段活用	名詞
かくげつ	各月	名詞
かくごしっく	角ゴシック	名詞
かくごしっくたい	角ゴシック体	名詞
かくしあじ	隠し味	名詞
がくしかてい	学士課程	名詞
かくしゃ	覚者	名詞
かくしゃく	赫灼	名詞
かくらん	霍乱	名詞
かげきは	過激派	名詞
かしまあんとらーず	鹿島アントラーズ	固有名詞
かしゅうじゅ	過収受	名詞サ変
かじょうわん	渦状腕	名詞
かしわれいそる	柏レイソル	固有名詞
かせつ	仮節	名詞
かっせん	割線	名詞
かねのなるき	金のなる木	名詞
かぶしきかいしゃ	株式会社	名詞
かぶしきがいしゃ	株式会社	名詞
かみやままんのしん	上山満之進	人名
かもふら	カモフラ	名詞サ変
からだき	空焚き	名詞サ変
かりおき	仮置き	名詞サ変
かりょく	夏緑	名詞
かわきもの	乾き物	名詞
かわさきふろんたーれ	川崎フロンターレ	固有名詞
かんいかんようじたい	簡易慣用字体	名詞
かんこくゆ	韓国瑜	人名
かんさいはんじ	簡裁判事	名詞
かんさいみらいぎんこう	関西みらい銀行	固有名詞
かんじ	巻次	名詞
かんじこうせいきじゅつもじ	漢字構成記述文字	名詞
かんじょうば	勘定場	名詞
かんち	漢地	名詞
かんちょく	漢直	名詞サ変
がんば	ガンバ	固有名詞
